CODICE_ISTAT,civico_geocodificato,fuori_limite_comunale,totale,civici_da_altri_comuni
006047,3163,0,3163,2
006052,680,0,680,0
006053,3278,0,3278,0
006054,365,0,365,0
006055,375,0,375,0
006056,352,0,352,0
006057,384,2,386,0
006060,403,0,403,0
006061,139,0,139,0
006062,199,0,199,0
006065,187,0,187,1
006066,261,1,262,0
006067,630,2,632,0
006068,1216,0,1216,0
006070,292,0,292,0
006071,237,0,237,0
006073,1192,0,1192,0
006074,782,28,810,0
006075,1182,48,1230,1
006076,948,0,948,0
006078,711,0,711,0
006079,800,0,800,1
006082,323,0,323,0
006084,547,0,547,1
006086,3,0,3,0
006088,12,0,12,0
006090,162,0,162,0
006091,960,0,960,0
006092,1075,0,1075,0
006093,180,0,180,0
006094,1032,0,1032,0
006095,1265,0,1265,0
006102,477,0,477,0
006104,717,0,717,0
006105,387,0,387,0
006106,413,0,413,0
006109,926,0,926,0
006110,694,0,694,0
006111,686,0,686,1
006112,563,0,563,0
006113,1273,0,1273,0
006114,8379,16,8395,10
006115,1034,0,1034,0
006116,549,0,549,0
006117,217,0,217,0
006119,484,0,484,0
006120,392,0,392,0
006121,5353,0,5353,5
006122,892,0,892,0
006123,1226,0,1226,0
006124,70,0,70,0
006125,710,0,710,1
006126,809,0,809,67
006127,663,2,665,3
006128,864,0,864,7
006129,641,0,641,0
006131,331,0,331,0
006132,2241,0,2241,0
006133,1266,0,1266,0
006134,629,1,630,0
006138,2836,45,2881,6
006139,378,0,378,0
006142,22,0,22,0
006143,687,0,687,0
006144,1269,0,1269,0
006145,384,0,384,0
006147,1762,92,1854,4
006149,1241,0,1241,2
006150,538,0,538,0
006157,934,0,934,1
006158,616,0,616,1
006160,2193,0,2193,1
006161,1298,0,1298,0
006162,1507,94,1601,0
006163,1205,0,1205,0
006165,1379,0,1379,0
006167,1866,0,1866,1
006169,1008,0,1008,6
006170,622,0,622,0
006171,559,0,559,0
006172,689,0,689,0
006173,984,0,984,0
006174,5823,0,5823,0
006176,717,0,717,0
006177,4950,7,4957,0
006178,875,0,875,0
006181,1459,0,1459,0
006182,837,0,837,0
006183,845,0,845,1
006185,1001,0,1001,0
006186,393,0,393,0
006187,605,0,605,0
006189,223,0,223,0
006191,1279,0,1279,0
007008,2,0,2,0
007009,262,0,262,0
007012,3,0,3,0
007013,1712,0,1712,0
007017,5,0,5,0
007018,1087,0,1087,0
007020,3,0,3,0
007021,1731,0,1731,0
007023,2691,0,2691,0
007027,387,0,387,0
007031,2102,0,2102,0
007038,516,0,516,0
007040,15,0,15,0
007041,1054,0,1054,0
007042,384,0,384,0
007048,955,0,955,0
007054,2284,0,2284,0
007055,688,0,688,0
007058,1500,0,1500,0
007063,1882,0,1882,0
008001,1024,0,1024,0
008005,361,0,361,0
008006,1892,0,1892,0
008007,708,0,708,0
008008,6098,3,6101,0
008010,1909,0,1909,0
008011,2060,0,2060,0
008015,834,0,834,0
008016,2663,0,2663,0
008018,736,0,736,0
008019,1210,0,1210,0
008020,818,0,818,0
008021,1891,0,1891,0
008022,543,0,543,0
008023,692,0,692,0
008027,3193,0,3193,36
008028,723,0,723,0
008031,20440,1,20441,35
008032,388,0,388,0
008033,704,0,704,0
008034,538,0,538,0
008035,1042,0,1042,0
008037,727,0,727,0
008038,660,0,660,0
008040,911,0,911,0
008042,1836,0,1836,0
008044,1795,0,1795,0
008045,829,6,835,0
008046,1491,0,1491,0
008047,944,0,944,0
008048,607,0,607,0
008050,15,0,15,0
008051,248,0,248,0
008052,4431,78,4509,0
008053,471,0,471,0
008054,1621,0,1621,0
008055,28516,0,28516,4
008056,1324,0,1324,0
008057,487,0,487,0
008058,1302,0,1302,0
008061,1021,0,1021,0
008062,929,0,929,3
008063,3169,0,3169,0
008064,899,0,899,2
008065,10539,0,10539,0
008066,205,0,205,0
008067,943,0,943,2
008068,1957,0,1957,0
009002,8993,0,8993,17
009003,1402,73,1475,5
009004,5082,75,5157,1
009005,1002,1,1003,0
009006,5057,0,5057,4
009007,393,0,393,0
009009,809,0,809,4
009012,2248,0,2248,24
009013,3125,0,3125,0
009014,458,0,458,0
009015,5711,39,5750,6
009016,1489,0,1489,1
009017,1658,21,1679,0
009021,328,0,328,0
009022,3226,0,3226,15
009023,1544,0,1544,22
009027,2056,1,2057,18
009029,7817,0,7817,42
009034,4479,289,4768,0
009035,804,0,804,3
009036,723,0,723,0
009037,192,0,192,0
009038,2572,10,2582,0
009039,510,0,510,0
009040,709,0,709,0
009041,513,0,513,0
009044,615,61,676,0
009046,833,0,833,0
009048,723,0,723,0
009049,8723,0,8723,66
009052,1813,71,1884,96
009053,788,0,788,1
009054,1035,0,1035,10
009055,2629,0,2629,1
009056,14987,0,14987,142
009057,1954,102,2056,7
009058,4406,1,4407,1
009059,876,0,876,0
009060,71,3,74,0
009061,1124,0,1124,0
009062,4121,0,4121,1
009063,1501,0,1501,0
009064,2408,0,2408,67
009068,2508,0,2508,0
009069,656,0,656,0
010001,5552,0,5552,1
010002,35,0,35,3
010003,2160,0,2160,0
010005,2346,0,2346,0
010008,2529,0,2529,0
010011,2536,5,2541,0
010013,1330,0,1330,5
010016,2403,0,2403,0
010017,7,0,7,0
010018,3453,0,3453,0
010021,1952,0,1952,0
010023,361,0,361,0
010025,133247,0,133247,6
010026,429,1,430,138
010028,4796,0,4796,0
010030,568,0,568,0
010031,2094,0,2094,0
010032,1326,0,1326,0
010033,1202,5,1207,0
010036,1337,0,1337,0
010042,333,0,333,0
010044,708,1,709,0
010046,14300,51,14351,0
010047,4453,0,4453,0
010048,1680,0,1680,0
010050,291,4,295,0
010052,1907,138,2045,0
010054,7099,0,7099,1
010057,3473,2,3475,0
010059,7991,0,7991,2
010061,1413,0,1413,1
010063,1,0,1,0
010066,816,0,816,0
010067,2654,0,2654,3
011001,3158,0,3158,9
011002,5163,0,5163,8
011005,1531,5,1536,0
011007,837,2,839,0
011010,752,0,752,0
011015,31578,2,31580,1
011016,5436,0,5436,0
011017,2166,0,2166,5
011020,3707,1,3708,0
011022,1545,0,1545,0
011023,2246,0,2246,0
011024,1953,0,1953,5
011025,1003,0,1003,0
011026,3720,6,3726,0
011027,10244,17,10261,2
011028,2014,0,2014,2
011032,587,0,587,0
012004,2437,0,2437,0
012005,1308,4,1312,0
012006,1460,1,1461,1
012007,385,0,385,0
012008,6,0,6,0
012011,7,0,7,0
012012,1645,0,1645,0
012013,3326,0,3326,0
012015,1545,0,1545,0
012016,863,0,863,2
012019,1150,0,1150,0
012020,1545,0,1545,0
012023,405,1,406,0
012025,1,0,1,1
012026,13325,0,13325,18
012027,1044,0,1044,5
012029,2330,0,2330,4
012030,1087,0,1087,1
012031,98,0,98,0
012033,1,0,1,0
012034,3179,0,3179,0
012036,1261,0,1261,8
012037,98,0,98,0
012039,3052,0,3052,7
012040,9314,0,9314,3
