CODICE_ISTAT,civico_geocodificato,fuori_limite_comunale,totale,civici_da_altri_comuni
013248,43,0,43,3
013249,4,0,4,10
013250,4,0,4,3
013251,2155,0,2155,2
013252,923,0,923,5
013256,2056,0,2056,0
014002,1498,0,1498,8
014003,309,0,309,1
014004,76,0,76,0
014006,4,0,4,4
014009,23,0,23,4
014013,762,0,762,0
014014,614,0,614,0
014015,309,0,309,3
014016,178,0,178,0
014017,432,0,432,6
014019,1151,0,1151,2
014020,8,0,8,0
014021,279,0,279,2
014022,866,0,866,2
014024,5,0,5,1
014027,1343,0,1343,1
014029,84,0,84,1
014030,295,0,295,4
014031,616,61,677,6
014032,3,0,3,1
014036,680,0,680,0
014038,2,0,2,0
014039,359,10,369,0
014040,1,0,1,0
014043,2,1,3,0
014045,7,0,7,1
014048,1,0,1,0
014049,885,0,885,0
014057,1454,0,1454,2
014061,4222,25,4247,1
014062,4,0,4,0
014064,7,0,7,15
014065,1,0,1,0
014069,1151,0,1151,3
014077,3,0,3,0
015002,6979,1,6980,5
015010,3612,3,3615,2
015011,1390,13,1403,0
015012,5,0,5,2
015014,1,0,1,0
015015,5040,0,5040,0
015016,937,29,966,0
015024,1592,0,1592,0
015027,26,0,26,0
015032,3000,0,3000,25
015035,564,0,564,2
015040,1260,0,1260,11
015042,2,0,2,0
015046,3096,1,3097,0
015050,4,0,4,0
015058,99,0,99,1
015059,5291,5,5296,0
015060,2041,51,2092,0
015062,4285,0,4285,5
015070,234,0,234,18
015071,1564,0,1564,1
015076,4,0,4,0
015077,13638,0,13638,3
015078,1436,2,1438,4
015085,7098,0,7098,1
015086,3073,0,3073,0
015087,5852,0,5852,1
015096,4026,80,4106,1
015098,2355,0,2355,0
015101,789,4,793,0
015103,2509,1,2510,4
015105,5949,0,5949,1
015108,3970,0,3970,5
015114,2964,0,2964,5
015115,2,0,2,2
015118,14490,0,14490,9
015122,773,1,774,3
015130,7,0,7,4
015139,2322,0,2322,6
015140,4719,7,4726,2
015142,3962,0,3962,12
015144,1342,0,1342,1
015146,694,0,694,93
015151,4462,0,4462,1
015158,3,0,3,0
015166,57,0,57,2
015169,3033,0,3033,1
015171,2417,0,2417,3
015172,1937,0,1937,2
015175,2868,0,2868,3
015177,1549,0,1549,1
015178,2194,2,2196,4
015181,3,0,3,0
015182,7161,0,7161,1
015189,5179,0,5179,5
015192,1781,0,1781,2
015194,1734,1,1735,1
015195,5853,0,5853,11
015200,2188,0,2188,1
015201,2195,0,2195,0
015205,3742,0,3742,2
015209,12481,6,12487,2
015211,3494,0,3494,0
015219,49,0,49,3
015220,1,0,1,2
015221,801,0,801,2
015230,1688,2,1690,0
015237,1428,2,1430,33
015242,3092,0,3092,0
015247,1892,0,1892,4
015250,893,0,893,0
016001,1879,5,1884,0
016002,929,0,929,0
016003,2472,1,2473,0
016004,4789,0,4789,0
016006,2957,7,2964,0
016008,4303,0,4303,2
016013,1,0,1,1
016014,40,0,40,1
016015,1,0,1,1
016018,1146,0,1146,1
016020,1391,1,1392,1
016024,5,0,5,85
016031,67,0,67,0
016033,869,0,869,0
016034,2024,0,2024,0
016035,395,0,395,0
016037,3390,0,3390,1
016041,282,0,282,1
016042,1610,24,1634,2
016043,1895,3,1898,0
016044,3269,0,3269,0
016046,3170,0,3170,0
016047,1264,0,1264,0
016048,534,0,534,3
016053,6952,0,6952,9
016055,1960,0,1960,0
016056,516,0,516,1
016059,957,0,957,2
016060,2043,0,2043,0
016061,115,0,115,3
016062,4784,0,4784,2
016063,1100,0,1100,0
016066,290,0,290,0
016067,564,0,564,0
016072,677,0,677,0
016073,1800,0,1800,0
016074,1,0,1,3
016076,2022,0,2022,0
016077,3105,0,3105,0
016079,4420,1,4421,3
016080,608,0,608,0
016084,988,0,988,3
016085,188,0,188,0
016086,3227,0,3227,3
016089,1757,0,1757,9
016091,7964,11,7975,3
016092,2,0,2,1
016093,1809,0,1809,0
016100,1004,0,1004,0
016102,396,0,396,0
016106,311,0,311,1
016108,2082,0,2082,0
016113,1986,0,1986,1
016114,91,0,91,4
016121,301,0,301,1
016122,253,0,253,0
016124,1756,6,1762,0
016127,406,0,406,1
016128,2674,3,2677,0
016132,2443,4,2447,2
016140,72,0,72,1
016143,1853,0,1853,0
016144,3110,0,3110,0
016145,336,0,336,0
016147,311,0,311,0
016151,176,0,176,4
016155,334,0,334,0
016160,1436,0,1436,0
016161,12,0,12,0
016163,1,0,1,0
016166,176,0,176,1
016167,1,0,1,1
016168,8,0,8,0
016170,2886,0,2886,0
016176,2294,3,2297,3
016177,811,0,811,0
016179,779,0,779,0
016184,633,0,633,1
016186,888,0,888,1
016187,993,0,993,0
016190,1720,5,1725,2
016191,398,0,398,0
016193,1955,0,1955,0
016198,4554,93,4647,7
016201,509,0,509,0
016207,14,0,14,8
016208,459,0,459,0
016211,647,0,647,0
016212,1,0,1,0
016214,1429,1,1430,0
016218,2738,0,2738,0
016220,390,0,390,0
016223,1008,0,1008,0
016225,341,0,341,2
016226,191,0,191,4
016227,166,0,166,0
016229,462,0,462,3
016230,250,0,250,4
016234,2280,0,2280,0
016236,427,0,427,0
016238,1,0,1,0
016240,1431,0,1431,1
016241,708,0,708,0
016242,1817,0,1817,0
016243,33,0,33,0
016245,1,0,1,2
016246,2793,0,2793,3
016250,127,0,127,1
016253,2955,0,2955,2
017001,753,0,753,0
017003,1546,0,1546,0
017005,636,0,636,0
017006,1698,12,1710,0
017010,3016,0,3016,0
017012,945,0,945,0
017014,4306,0,4306,0
017015,1537,0,1537,0
017016,842,0,842,0
017017,948,0,948,0
017018,1558,0,1558,0
017019,1129,0,1129,0
017021,3380,0,3380,0
017022,2161,0,2161,3
017023,3205,0,3205,0
017025,1644,0,1644,0
017027,156,0,156,2
017029,18596,0,18596,12
017035,1267,0,1267,0
017036,370,0,370,0
017037,2338,0,2338,0
017038,5191,2,5193,0
017039,4486,0,4486,0
017040,4294,0,4294,27
017041,3277,0,3277,0
017042,17,0,17,0
017043,9,0,9,0
017044,644,0,644,0
017046,5412,26,5438,7
017048,14,0,14,0
017049,482,0,482,0
017052,8622,0,8622,0
017054,16,0,16,0
017055,1004,0,1004,0
017056,3381,0,3381,3
017057,7,0,7,0
017062,3938,0,3938,0
017065,6750,0,6750,0
017066,8,0,8,0
017069,3340,0,3340,0
017070,2875,0,2875,0
017072,3935,0,3935,0
017075,3390,3,3393,0
017076,3557,0,3557,0
017077,5938,0,5938,0
017081,3,0,3,0
017082,1729,0,1729,0
017083,714,0,714,0
017084,65,0,65,0
017086,3096,0,3096,0
017087,594,0,594,0
017094,632,0,632,0
017097,539,0,539,0
017099,897,0,897,0
017100,824,0,824,0
017103,5545,0,5545,3
017105,767,0,767,0
017107,5603,0,5603,0
017108,945,0,945,4
017109,2124,0,2124,0
017110,725,0,725,0
017112,1,0,1,0
017113,1612,0,1612,0
017114,1884,0,1884,0
017115,401,0,401,0
017116,1574,0,1574,32
017117,3486,0,3486,0
017118,990,12,1002,0
017119,2268,0,2268,0
017120,2288,0,2288,0
017121,1077,0,1077,0
017123,1705,0,1705,0
017124,564,0,564,0
017127,5464,27,5491,6
017128,964,9,973,0
017130,1740,0,1740,0
017132,1028,0,1028,0
017133,8495,0,8495,0
017134,1686,0,1686,0
